filename,Score,ThemeLogic,Creativity,LayoutComposition,SpacePerspective,SenseOrder,LightShadow,Color,DetailsTexture,Overall,Mood,,,,
ffde6f060aaf45fe9fb9c72b03a8ff47.png,6.25,,,6,5.25,,5.25,5.88,5.38,5.62,,,,,
fe211129b8ab4d8c960c4cf06b6df934.png,3.786,,,4,3.57,,3.86,4,3.57,3.86,,,,,
fc6963192f0f4ab4b952bd7c8d7043a5.jpg,7.25,,,7.62,7.12,,7.25,7.62,6.88,6.75,,,,,
fc5ed62cb03c4029837bff0c3f69207b.jpg,7.944,,,7.78,7.33,,7.78,7.56,7.33,7.33,,,,,
fb9de20e70934703a1c69a1a35aeee59.jpg,7.125,,,6.62,6.12,,5.75,6.62,7,6.5,,,,,
fb7385a705e849ca91c36cc696612142.jpg,7.312,,,7.5,6.62,,6.75,7,7.12,6.62,,,,,
f9577acf9d2a4005ac903a942f08b4b1.png,3.062,,,3.38,3.12,,2.88,2.88,2.5,2.75,,,,,
f652f51cae6c476b90de074f237c2a6e.jpg,7.786,,,7.14,6.71,,6.71,7.14,6.86,6.57,,,,,
f2ac1b26803146619eeed2078325cb74.jpg,7.357,,,7,6.29,,6.29,6.71,6.71,6.43,,,,,
f29b131a5b8a4f38b9080523608c03d9.jpg,7.929,,,7.57,7.14,,8.14,6.86,7.14,7.57,,,,,
f1dae8ca5428432a8533dca5e25fa1f3.png,3.429,,,5,4.57,,4.29,4.57,4.57,4.43,,,,,
f15fb3f1e3854b3c80760c676612d9e9.jpg,7.786,,,8,7.57,,7,7.71,7.86,6.71,,,,,
f06b9b1ca6814ff282ee180da0a3da2c.jpg,8.071,,,7.57,7.71,,7.43,7.43,7,7.29,,,,,
ee62771c974b4f8a9fc7398300c27033.jpg,7.5,,,7.43,7.43,,7.29,7,7.43,7.43,,,,,
ecd8148895ba4332902adfbed6924f22.png,3.929,,,3.86,3.71,,3.29,3.86,3.43,3.57,,,,,
ebbd008135984ae19b964285fbebeda7.jpg,8.143,,,6.86,7.43,,7.29,7.29,7.71,7.14,,,,,
e8c424732f8843a39d707d3dbe0e086d.png,2.929,,,4.29,3.29,,3,3.29,2.86,3,,,,,
e5ceb26e035544e9a6f2fcbf69bb98fa.jpg,4.643,,,5.57,4.29,,3.71,5.29,4.29,4.57,,,,,
e5add7d9ebb94be0bd88667ca3a9cdc8.jpg,8.357,,,7.71,7.86,,7.57,7.71,7.57,7.43,,,,,
e4cc3369cabd4f68a0330f153bc33777.png,3.857,,,4.43,4,,3.86,4.29,3.57,4.43,,,,,
e0de65ac78954632a0679aebb60d168b.jpg,8,,,8.14,7.43,,7.57,8,7.57,7.43,,,,,
e0dc4d685b47480c8f2f71160836364d.jpg,7.786,,,7.71,7.57,,7.43,7.71,7.71,7.86,,,,,
e0bf84f7b6744546ac0d66430ba940cd.jpg,8.286,,,8.43,8.14,,8.29,8,8,7.86,,,,,
de3ea360707440788224788739c1a13e.jpg,7.143,,,6.86,6.57,,7,7.14,7.43,7.14,,,,,
d67636dcc35e4d0e84508d264651968d.jpg,7.429,,,7.43,7.57,,7.14,6.71,7.57,7,,,,,
d640070d76d1493faf6ffa7682c9205a.png,6,,,5.86,5.43,,5.57,5.43,5,6,,,,,
d171f3e673344e83a9c8fd6573a86118.jpg,8.429,,,7.57,7.43,,7.43,7.71,7.86,7.57,,,,,
d06585773897474e9d33e6d857dff826.png,5.071,,,4.71,4.71,,5.14,4.57,5,4.86,,,,,
